respondent,trial_nr,salience,position,responseTime
23,8,low,peripheral,1368.8746667467058
23,9,low,central,1819.4477036595345
23,10,high,peripheral,1102.091456996277
23,11,low,central,1368.8821729738265
23,12,low,peripheral,1018.5702715534717
23,13,high,central,1135.1265185512602
23,14,high,peripheral,885.3463705163449
23,15,high,central,1234.2601481359452
23,16,high,central,1134.0476048644632
23,17,low,peripheral,1719.9178272858262
23,18,low,central,1267.9280987940729
23,19,high,central,801.89155554398894
23,20,low,central,2169.3522962741554
23,21,high,peripheral,967.1186173800379
23,22,low,central,1718.990222318098
23,23,high,central,1068.504098802805
23,24,high,central,702.5576296728104
23,25,high,peripheral,835.1853827480227
23,26,high,central,735.1304690819234
23,27,low,peripheral,1819.348543183878
23,28,low,central,1217.3088393174112
23,29,high,peripheral,851.9589134957641
23,30,high,peripheral,1252.0082963164896
23,31,low,peripheral,1285.2653828449547
23,32,high,peripheral,868.3144690003246
27,1,high,peripheral,951.6382190049626
27,2,low,peripheral,1168.7992715160362
27,4,low,peripheral,1017.1444599400274
27,5,low,peripheral,1018.0922111612745
27,6,high,peripheral,900.5074557499029
27,7,low,peripheral,1652.486217324622
27,8,high,central,583.8866491103545
27,9,high,central,584.3856111168861
27,10,high,central,616.8114236206748
27,11,low,peripheral,1986.968124518171
27,12,high,peripheral,785.4333127615973
27,13,low,central,985.0291654001921
27,14,low,central,1019.1833695280366
27,15,high,central,1851.0730842826888
27,16,high,central,552.2900695796125
27,17,low,peripheral,717.8051993832923
27,18,high,peripheral,634.3213149229996
27,19,low,central,1052.2270573419519
27,20,low,peripheral,1285.3078808402643
27,21,high,central,868.64934588084
27,22,high,peripheral,584.6230427268893
27,23,low,peripheral,934.5577589119785
27,24,low,central,1303.0085866921581
27,25,high,peripheral,1018.3727044495754
27,26,high,peripheral,802.2190573974513
27,27,low,central,1853.411054937169
27,28,high,central,1552.025773737114
27,29,high,central,667.3523607896641
27,30,high,peripheral,801.4731822768226
27,31,low,central,2670.4737373511307
27,32,low,central,1469.0515178954229
28,1,high,peripheral,1588.146428577602
28,2,high,peripheral,784.765969729051
28,3,low,central,1552.1022386383265
28,4,high,central,600.4612734541297
28,5,low,peripheral,834.6748291514814
28,6,high,central,651.2420326471329
28,7,low,peripheral,1084.6675203647465
28,8,low,central,1301.8515722360462
28,9,high,peripheral,617.9996158462018
28,10,high,peripheral,634.4290219713002
28,11,high,peripheral,667.9179568309337
28,12,low,central,683.9463762007654
28,13,low,central,784.7944141831249
28,14,low,peripheral,2252.352391369641
28,15,low,peripheral,1000.9347144514322
28,16,low,peripheral,968.3860251680017
28,17,high,peripheral,584.3724098522216
28,18,high,central,584.1424844693393
28,19,high,central,550.704907393083
28,20,low,central,801.0270798113197
28,21,high,central,650.9093912318349
28,22,low,peripheral,734.2333090491593
28,23,low,central,784.21446448192
28,24,low,peripheral,884.6097625792027
28,25,low,central,651.268501766026
28,26,high,central,533.9689338579774
28,27,high,peripheral,634.4294170849025
28,28,high,peripheral,817.8792013786733
28,29,low,central,766.7547389864922
28,30,low,peripheral,866.929197916761
28,31,high,central,700.280572520569
28,32,high,central,551.4488075859845
29,1,high,peripheral,935.5152337811887
29,2,low,central,868.3282441925257
29,3,high,central,567.8647183813155
29,4,low,central,634.6791645046324
29,5,high,peripheral,768.3598098810762
29,6,low,central,784.7074705641717
29,7,low,peripheral,1435.3830856271088
29,8,low,central,1118.4028121642768
29,9,low,peripheral,968.2745554018766
29,10,high,central,651.1911707930267
29,11,high,central,567.9547924082726
29,12,high,peripheral,751.4191609807312
29,13,high,peripheral,785.5153719428927
29,14,high,central,634.5539295580238
29,15,low,central,802.3359219077975
29,16,low,central,802.6152306701988
29,17,high,peripheral,701.4462030492723
29,18,high,central,551.1780944652855
29,19,low,peripheral,1319.1637804266065
29,20,low,central,801.3119215611368
29,21,low,central,951.6092648264021
29,22,high,peripheral,734.3161420430988
29,23,high,central,618.3417751453817
29,24,low,peripheral,1503.3483470324427
29,25,high,peripheral,617.885478772223
29,26,high,peripheral,684.6770111005753
29,27,low,peripheral,1618.99757781066
29,28,low,peripheral,1468.729074113071
29,29,high,central,734.6278459299356
29,30,high,central,702.1885241847485
29,31,low,peripheral,1702.294796006754
29,32,low,peripheral,1051.7704896628857
3,1,high,peripheral,1752.3740257602185
3,3,high,central,1135.2395594585687
3,4,low,peripheral,1484.673376660794
3,5,low,central,968.0165799800307
3,6,low,peripheral,1485.1940681692213
3,7,high,central,934.8124186508358
3,8,low,central,901.4565537218004
3,10,low,central,1085.7762314844877
3,11,high,peripheral,885.1199545897543
3,12,high,peripheral,835.0529717281461
3,13,high,central,984.3444875441492
3,14,low,peripheral,1268.5121060349047
3,15,high,peripheral,718.0747527163476
3,16,high,central,717.9645304568112
3,17,low,central,935.368665959686
3,18,high,peripheral,884.970226092264
3,19,low,central,2202.892722096294
3,20,low,central,1552.4407122284174
3,21,high,peripheral,934.8953815642744
3,22,low,central,1335.3028486017138
